DAY,N10D,GPRD,GPRD_ACT,GPRD_THREAT,date,GPRD_MA30,GPRD_MA7,event,var_name,var_label
20170212,445,89.32766723632812,74.2105941772461,111.41812896728516,2017-02-12,114.29053497314453,127.43804168701172,,,
20170213,552,132.0226287841797,71.79067993164062,169.66146850585938,2017-02-13,116.54306030273438,134.36123657226562,,,
20170214,606,185.8536376953125,87.19132232666016,272.72314453125,2017-02-14,121.76532745361328,134.57720947265625,,,
20170215,641,118.85968017578125,92.73429107666016,128.9159393310547,2017-02-15,123.30777740478516,136.9964141845703,,,
20170216,650,127.40645599365234,91.45027923583984,161.03253173828125,2017-02-16,124.19732666015625,142.01153564453125,,,
20170217,711,88.52149963378906,65.02559661865234,100.72727966308594,2017-02-17,123.73143005371094,124.3133316040039,,,
20170218,790,92.24872589111328,50.162601470947266,125.52169799804688,2017-02-18,122.61750030517578,119.17718505859375,,,
20170219,453,95.06265258789062,72.90003204345703,121.61164855957031,2017-02-19,122.2977523803711,119.99646759033203,,,
20170220,450,110.41893005371094,102.74044036865234,122.42239379882812,2017-02-20,124.67780303955078,116.91022491455078,,,
20170221,571,139.23226928710938,104.10276794433594,164.0159912109375,2017-02-21,126.48101043701172,110.25003051757812,,,
20170222,626,95.24954986572266,84.40565490722656,88.0033187866211,2017-02-22,125.94096374511719,106.87715148925781,,,
20170223,665,59.775657653808594,69.52360534667969,41.421112060546875,2017-02-23,124.70088195800781,97.21561431884766,,,
20170224,693,90.82076263427734,85.77587890625,87.44457244873047,2017-02-24,124.24903869628906,97.54407501220703,,,
20170225,762,43.472015380859375,26.0029239654541,50.60768127441406,2017-02-25,121.98371124267578,90.57597351074219,,,
20170226,482,48.10783004760742,41.10835647583008,68.57685852050781,2017-02-26,119.61540222167969,83.86814880371094,,,
20170227,570,81.36131286621094,92.6981430053711,67.65447998046875,2017-02-27,119.03953552246094,79.71705627441406,,,
20170228,619,69.56926727294922,106.70020294189453,53.399105072021484,2017-02-28,117.48416137695312,69.76519775390625,,,
20170301,662,130.10084533691406,129.70037841796875,124.82646179199219,2017-03-01,116.27120208740234,74.74395751953125,,,
20170302,723,114.5424575805664,91.3519058227539,121.91442108154297,2017-03-02,113.79959869384766,82.56778717041016,,,
20170303,716,64.7708740234375,64.57150268554688,69.24730682373047,2017-03-03,110.93959045410156,78.84637451171875,,,
20170304,806,16.43954086303711,16.388938903808594,20.50499153137207,2017-03-04,105.9508056640625,74.98458862304688,,,
20170305,434,122.122314453125,136.96470642089844,126.93566131591797,2017-03-05,103.88716888427734,85.55809020996094,,,
20170306,565,117.259033203125,140.27772521972656,126.75592803955078,2017-03-06,102.86009216308594,90.68633270263672,,,
20170307,607,141.88922119140625,152.33343505859375,127.06112670898438,2017-03-07,105.9057846069336,101.01775360107422,,,
20170308,626,111.12447357177734,63.30424118041992,149.6056365966797,2017-03-08,106.82459259033203,98.30684661865234,,,
20170309,700,123.0382308959961,75.48277282714844,141.6602020263672,2017-03-09,104.78113555908203,99.52052307128906,,,
20170310,692,71.80421447753906,57.26655197143555,79.60993194580078,2017-03-10,103.777099609375,100.5252914428711,,,
20170311,814,52.903411865234375,56.79753875732422,47.374759674072266,2017-03-11,102.46385955810547,105.73441314697266,,,
20170312,437,75.8024673461914,105.79679107666016,75.6385498046875,2017-03-12,97.91030883789062,99.11729431152344,,,
20170313,591,78.47029876708984,67.05322265625,93.21501922607422,2017-03-13,96.25259399414062,93.57604217529297,,,
20170314,609,59.832916259765625,43.38090515136719,72.367919921875,2017-03-14,95.26943969726562,81.85371398925781,,,
20170315,622,95.8620834350586,127.42268371582031,70.85540008544922,2017-03-15,94.0640869140625,79.67337799072266,,,
