Date,Close,High,Low,Open,Volume
2019-11-07,23207.0,23207.0,22843.73046875,22864.62890625,0
2019-11-08,23207.0,23207.0,22824.77734375,23207.0,0
2019-11-11,23207.0,23207.0,22816.474609375,22858.751953125,0
2019-11-12,23207.0,23207.0,22822.265625,22822.265625,0
2019-11-13,23207.0,23207.0,22842.11328125,22853.8984375,0
2019-11-14,23207.0,23207.0,22834.91796875,22839.623046875,0
2019-11-15,23207.0,23207.0,22764.603515625,22764.603515625,0
2019-11-18,22802.74609375,23207.0,22780.279296875,22789.962890625,0
2019-11-19,23207.0,23207.0,22827.923828125,23207.0,0
2019-11-20,23207.0,23207.0,22836.1875,22838.5234375,0
2019-11-21,23207.0,23207.0,22798.353515625,22798.353515625,0
2019-11-22,23207.0,23207.0,22831.892578125,23207.0,0
2019-11-25,23207.0,23207.0,22836.2109375,22922.205078125,0
2019-11-26,23207.0,23207.0,22827.3203125,22848.345703125,0
2019-11-27,23207.0,23207.0,22844.70703125,23207.0,0
2019-11-28,23207.0,23207.0,22839.09375,23207.0,0
2019-11-29,23207.0,23207.0,22810.853515625,22820.943359375,0
2019-12-02,22771.517578125,23207.0,22768.212890625,22768.212890625,0
2019-12-03,23207.0,23207.0,22678.36328125,23207.0,0
2019-12-04,23207.0,23207.0,22795.626953125,22795.626953125,0
2019-12-05,23171.0,23171.0,22783.07421875,22783.07421875,0
2019-12-06,23171.0,23171.0,22781.001953125,22781.001953125,0
2019-12-09,23171.0,23171.0,22889.1796875,22889.1796875,0
2019-12-10,23171.0,23171.0,22816.12109375,22828.169921875,0
2019-12-11,23171.0,23171.0,22790.822265625,22790.822265625,0
2019-12-12,23171.0,23171.0,22701.88671875,23171.0,0
2019-12-13,23171.0,23171.0,22732.990234375,22732.990234375,0
2019-12-16,23171.0,23171.0,22918.521484375,22918.521484375,0
2019-12-17,23171.0,23171.0,22817.72265625,23171.0,0
2019-12-18,23171.0,23171.0,22815.650390625,22846.890625,0
2019-12-19,23171.0,23171.0,22800.138671875,23171.0,0
2019-12-20,23171.0,23171.0,22811.451171875,23171.0,0
2019-12-23,23171.0,23171.0,22815.369140625,22856.240234375,0
2019-12-24,23171.0,23171.0,22816.119140625,23171.0,0
2019-12-25,23171.0,23171.0,23171.0,23171.0,0
2019-12-26,23171.0,23171.0,22783.302734375,22783.302734375,0
2019-12-27,23171.0,23171.0,22759.90625,22759.90625,0
2019-12-30,23171.0,23171.0,22731.619140625,22731.619140625,0
2019-12-31,23171.0,23171.0,22790.787109375,22790.787109375,0
2020-01-01,23171.0,23171.0,23171.0,23171.0,0
2020-01-02,23171.0,23171.0,22805.60546875,22835.80078125,0
2020-01-03,23171.0,23171.0,22812.912109375,23171.0,0
2020-01-06,23171.0,23171.0,22744.150390625,22744.150390625,0
2020-01-07,23171.0,23171.0,22822.310546875,23171.0,0
2020-01-08,23171.0,23171.0,22812.447265625,22863.619140625,0
2020-01-09,23171.0,23171.0,22805.958984375,23171.0,0
2020-01-10,23171.0,23171.0,22809.244140625,22809.244140625,0
2020-01-13,22761.69140625,23171.0,22759.1328125,23171.0,0
2020-01-14,23171.0,23171.0,22781.43359375,22781.43359375,0
2020-01-15,23171.0,23171.0,22809.69140625,22818.328125,0
2020-01-16,23171.0,23171.0,22805.091796875,23171.0,0
2020-01-17,23171.0,23171.0,22812.818359375,23171.0,0
2020-01-20,23171.0,23171.0,22809.66796875,23171.0,0
2020-01-21,23171.0,23171.0,22798.15234375,23171.0,0
2020-01-22,23171.0,23171.0,22806.345703125,23171.0,0
2020-01-23,23171.0,23171.0,22787.423828125,23171.0,0
2020-01-24,23171.0,23171.0,22812.447265625,22881.82421875,0
2020-01-27,23171.0,23171.0,22811.083984375,23171.0,0
2020-01-28,23171.0,23171.0,22808.044921875,22816.568359375,0
2020-01-29,23171.0,23171.0,22795.10546875,23171.0,0
2020-01-30,23171.0,23182.0,22786.6953125,23171.0,0
2020-01-31,23182.0,23182.0,22808.568359375,23182.0,0
2020-02-03,23182.0,23182.0,22895.078125,23182.0,0
2020-02-04,23182.0,23237.0,22886.359375,22902.736328125,0
2020-02-05,23237.0,23237.0,22855.7421875,22906.36328125,0
2020-02-06,23237.0,23237.0,22861.896484375,23237.0,0
2020-02-07,23237.0,23237.0,22866.533203125,22895.41015625,0
2020-02-10,23237.0,23237.0,22898.294921875,23237.0,0
2020-02-11,23237.0,23237.0,22873.8984375,22971.09765625,0
2020-02-12,23237.0,23237.0,22864.05078125,23237.0,0
2020-02-13,23237.0,23237.0,22875.513671875,23237.0,0
2020-02-14,23237.0,23237.0,22877.70703125,23237.0,0
2020-02-17,23237.0,23237.0,22857.484375,23237.0,0
2020-02-18,23237.0,23237.0,22879.00390625,23237.0,0
2020-02-19,23235.0,23235.0,22853.568359375,23235.0,0
2020-02-20,23235.0,23235.0,22836.642578125,23235.0,0
2020-02-21,23235.0,23235.0,22875.1171875,23235.0,0
2020-02-24,23235.0,23235.0,22878.1328125,23235.0,0
2020-02-25,23235.0,23235.0,22799.544921875,23235.0,0
2020-02-26,23235.0,23240.0,22824.482421875,23235.0,0
2020-02-27,23240.0,23240.0,22837.748046875,23240.0,0
2020-02-28,23240.0,23240.0,22787.5859375,22787.5859375,0
2020-03-02,23234.0,23234.0,22866.46484375,23234.0,0
2020-03-03,23234.0,23234.0,22845.708984375,23234.0,0
2020-03-04,23234.0,23234.0,22751.1875,23234.0,0
2020-03-05,23204.0,23204.0,22841.64453125,23204.0,0
2020-03-06,23204.0,23204.0,22730.123046875,22730.123046875,0
2020-03-09,23204.0,23204.0,22840.625,23204.0,0
2020-03-10,23204.0,23204.0,22829.796875,22860.1484375,0
2020-03-11,23204.0,23204.0,22786.728515625,23204.0,0
2020-03-12,23204.0,23204.0,22814.01953125,22842.701171875,0
2020-03-13,23204.0,23204.0,22839.53125,22945.060546875,0
2020-03-16,23204.0,23204.0,22851.4765625,23204.0,0
2020-03-17,23204.0,23244.0,22893.8828125,23204.0,0
2020-03-18,23244.0,23244.0,22902.103515625,23244.0,0
2020-03-19,23244.0,23244.0,23244.0,23244.0,0
2020-03-20,23244.0,23244.0,23040.869140625,23244.0,0
2020-03-23,23244.0,23244.0,23001.244140625,23244.0,0
2020-03-24,23244.0,23291.091796875,22938.0625,22938.0625,0
2020-03-25,23244.0,23341.845703125,23222.853515625,23244.0,0
2020-03-26,23244.0,23310.953125,23029.63671875,23244.0,0
2020-03-27,23244.0,23262.1953125,23120.962890625,23244.0,0
2020-03-30,23010.337890625,23631.0,23244.0,23244.0,0
2020-03-31,23631.0,23631.0,23293.455078125,23631.0,0
2020-04-01,23631.0,23631.0,23077.236328125,23631.0,0
2020-04-02,23631.0,23631.0,23230.46875,23631.0,0
2020-04-03,23631.0,23631.0,23197.544921875,23394.806640625,0
2020-04-06,23631.0,23631.0,23078.845703125,23631.0,0
2020-04-07,23631.0,23631.0,23092.978515625,23631.0,0
2020-04-08,23631.0,23631.0,23108.490234375,23631.0,0
2020-04-09,23631.0,23631.0,23115.12890625,23631.0,0
2020-04-10,23631.0,23631.0,22984.990234375,23631.0,0
2020-04-13,23631.0,23631.0,22922.0390625,23631.0,0
2020-04-14,23631.0,23631.0,22988.04296875,23631.0,0
2020-04-15,23449.0,23449.0,23018.25,23018.25,0
2020-04-16,23441.0,23441.0,23087.884765625,23441.0,0
2020-04-17,23441.0,23441.0,23052.36328125,23441.0,0
2020-04-20,22972.873046875,23441.0,23003.015625,23441.0,0
2020-04-21,23441.0,23441.0,23096.40625,23096.40625,0
2020-04-22,23441.0,23441.0,23039.30078125,23441.0,0
2020-04-23,23441.0,23441.0,23107.787109375,23256.4375,0
2020-04-24,23441.0,23441.0,23136.87109375,23136.87109375,0
2020-04-27,23441.0,23441.0,23095.99609375,23441.0,0
2020-04-28,23441.0,23444.0,23082.296875,23441.0,0
2020-04-29,23444.0,23444.0,23070.36328125,23444.0,0
2020-04-30,23444.0,23444.0,23063.5546875,23444.0,0
2020-05-01,23444.0,23444.0,22910.69921875,22910.69921875,0
2020-05-04,23444.0,23444.0,23071.646484375,23444.0,0
2020-05-05,23444.0,23444.0,23046.056640625,23444.0,0
2020-05-06,23444.0,23444.0,23051.505859375,23444.0,0
2020-05-07,23444.0,23444.0,23059.45703125,23073.07421875,0
2020-05-08,23444.0,23444.0,22936.705078125,23444.0,0
