date,capital,ticker,so_lo,so_co_phieu,gia_hien_tai,so_tien_chi,ty_trong_goc_ppo,ty_trong_thuc_te,used_capital,cash_left,tracking_error
13/07/2026,100000000,VGC,2,200,39320.0,7864000.0,0.0535,0.0786,99496000.0,504000.0,0.5238
13/07/2026,100000000,VHC,1,100,57000.0,5700000.0,0.056,0.057,99496000.0,504000.0,0.5238
13/07/2026,100000000,VIX,2,200,14650.0,2930000.0,0.0162,0.0293,99496000.0,504000.0,0.5238
20/07/2026,100000000,BSI,1,100,29850.0,2985000.0,0.0206,0.0299,99973000.0,27000.0,0.5602
20/07/2026,100000000,DBC,1,100,16250.0,1625000.0,0.0141,0.0163,99973000.0,27000.0,0.5602
20/07/2026,100000000,DGW,2,200,35150.0,7030000.0,0.0437,0.0703,99973000.0,27000.0,0.5602
20/07/2026,100000000,DXG,2,200,11350.0,2270000.0,0.0189,0.0227,99973000.0,27000.0,0.5602
20/07/2026,100000000,EIB,3,300,17850.0,5355000.0,0.0421,0.0536,99973000.0,27000.0,0.5602
20/07/2026,100000000,HAG,2,200,14450.0,2890000.0,0.0201,0.0289,99973000.0,27000.0,0.5602
20/07/2026,100000000,HDC,4,400,12300.0,4920000.0,0.0426,0.0492,99973000.0,27000.0,0.5602
20/07/2026,100000000,HDG,1,100,16800.0,1680000.0,0.0118,0.0168,99973000.0,27000.0,0.5602
20/07/2026,100000000,IMP,3,300,37650.0,11295000.0,0.0937,0.1129,99973000.0,27000.0,0.5602
20/07/2026,100000000,KDC,2,200,49500.0,9900000.0,0.0544,0.099,99973000.0,27000.0,0.5602
20/07/2026,100000000,KDH,2,200,17800.0,3560000.0,0.0296,0.0356,99973000.0,27000.0,0.5602
20/07/2026,100000000,MBB,1,100,22800.0,2280000.0,0.0154,0.0228,99973000.0,27000.0,0.5602
20/07/2026,100000000,NLG,1,100,23700.0,2370000.0,0.0237,0.0237,99973000.0,27000.0,0.5602
20/07/2026,100000000,NT2,1,100,20800.0,2080000.0,0.0123,0.0208,99973000.0,27000.0,0.5602
20/07/2026,100000000,PDR,4,400,12700.0,5080000.0,0.0424,0.0508,99973000.0,27000.0,0.5602
20/07/2026,100000000,SJS,1,100,47500.0,4750000.0,0.033,0.0475,99973000.0,27000.0,0.5602
20/07/2026,100000000,TCH,6,600,12550.0,7530000.0,0.0658,0.0753,99973000.0,27000.0,0.5602
20/07/2026,100000000,VGC,2,200,36690.0,7338000.0,0.0528,0.0734,99973000.0,27000.0,0.5602
20/07/2026,100000000,VHC,2,200,55500.0,11100000.0,0.0571,0.111,99973000.0,27000.0,0.5602
20/07/2026,100000000,VIX,2,200,12800.0,2560000.0,0.0161,0.0256,99973000.0,27000.0,0.5602
20/07/2026,100000000,VSC,1,100,13750.0,1375000.0,0.0096,0.0138,99973000.0,27000.0,0.5602
27/07/2026,100000000,BSI,1,100,26250.0,2625000.0,0.0208,0.0262,99954000.0,46000.0,0.5033
27/07/2026,100000000,CTD,1,100,55200.0,5520000.0,0.0418,0.0552,99954000.0,46000.0,0.5033
27/07/2026,100000000,DBC,1,100,15700.0,1570000.0,0.013,0.0157,99954000.0,46000.0,0.5033
27/07/2026,100000000,DGW,2,200,33150.0,6630000.0,0.044,0.0663,99954000.0,46000.0,0.5033
27/07/2026,100000000,DXG,2,200,9970.0,1994000.0,0.0187,0.0199,99954000.0,46000.0,0.5033
27/07/2026,100000000,EIB,3,300,17200.0,5160000.0,0.0425,0.0516,99954000.0,46000.0,0.5033
27/07/2026,100000000,HAG,2,200,13700.0,2740000.0,0.0192,0.0274,99954000.0,46000.0,0.5033
27/07/2026,100000000,HDC,4,400,10900.0,4360000.0,0.0432,0.0436,99954000.0,46000.0,0.5033
27/07/2026,100000000,HDG,1,100,15500.0,1550000.0,0.0102,0.0155,99954000.0,46000.0,0.5033
27/07/2026,100000000,IMP,3,300,35000.0,10500000.0,0.0948,0.105,99954000.0,46000.0,0.5033
27/07/2026,100000000,KDC,2,200,48700.0,9740000.0,0.0531,0.0974,99954000.0,46000.0,0.5033
27/07/2026,100000000,KDH,2,200,16400.0,3280000.0,0.0304,0.0328,99954000.0,46000.0,0.5033
27/07/2026,100000000,MBB,1,100,21650.0,2165000.0,0.0158,0.0216,99954000.0,46000.0,0.5033
27/07/2026,100000000,NLG,2,200,20000.0,4000000.0,0.0245,0.04,99954000.0,46000.0,0.5033
27/07/2026,100000000,PDR,4,400,11150.0,4460000.0,0.0416,0.0446,99954000.0,46000.0,0.5033
27/07/2026,100000000,SJS,1,100,47200.0,4720000.0,0.0338,0.0472,99954000.0,46000.0,0.5033
27/07/2026,100000000,TCH,7,700,11000.0,7700000.0,0.0653,0.077,99954000.0,46000.0,0.5033
27/07/2026,100000000,VGC,2,200,34900.0,6980000.0,0.054,0.0698,99954000.0,46000.0,0.5033
