symbol,organ_name,com_type_code,icb_level,icb_code,icb_name
ACS,Công ty Cổ phần Xây lắp Thương mại 2,CT,4,2357,Xây dựng
ACV,Tổng Công ty Cảng Hàng không Việt Nam - CTCP,CT,1,2000,Công nghiệp
ACV,Tổng Công ty Cảng Hàng không Việt Nam - CTCP,CT,2,2700,Hàng & Dịch vụ Công nghiệp
ACV,Tổng Công ty Cảng Hàng không Việt Nam - CTCP,CT,3,2770,Vận tải
ACV,Tổng Công ty Cảng Hàng không Việt Nam - CTCP,CT,4,2777,"Kho bãi, hậu cần và bảo dưỡng"
ADC,Công ty Cổ phần Mĩ thuật và Truyền thông,CT,1,5000,Dịch vụ Tiêu dùng
ADC,Công ty Cổ phần Mĩ thuật và Truyền thông,CT,2,5500,Truyền thông
ADC,Công ty Cổ phần Mĩ thuật và Truyền thông,CT,3,5550,Truyền thông
ADC,Công ty Cổ phần Mĩ thuật và Truyền thông,CT,4,5557,"Sách, ấn bản & sản phẩm văn hóa"
ADG,Công ty Cổ phần Clever Group,CT,1,5000,Dịch vụ Tiêu dùng
ADG,Công ty Cổ phần Clever Group,CT,2,5500,Truyền thông
ADG,Công ty Cổ phần Clever Group,CT,3,5550,Truyền thông
ADG,Công ty Cổ phần Clever Group,CT,4,5555,Dịch vụ truyền thông
ADP,Công ty Cổ phần Sơn Á Đông,CT,1,2000,Công nghiệp
ADP,Công ty Cổ phần Sơn Á Đông,CT,2,2300,Xây dựng và Vật liệu
ADP,Công ty Cổ phần Sơn Á Đông,CT,3,2350,Xây dựng và Vật liệu
ADP,Công ty Cổ phần Sơn Á Đông,CT,4,2353,Vật liệu xây dựng & Nội thất
ADS,Công ty Cổ phần DAMSAN,CT,1,3000,Hàng Tiêu dùng
ADS,Công ty Cổ phần DAMSAN,CT,2,3700,Hàng cá nhân & Gia dụng
ADS,Công ty Cổ phần DAMSAN,CT,3,3760,Hàng cá nhân
ADS,Công ty Cổ phần DAMSAN,CT,4,3763,Hàng May mặc
AEIF,Quỹ Đầu tư Cổ phiếu Amber,QU,1,8000,Tài chính
AEIF,Quỹ Đầu tư Cổ phiếu Amber,QU,2,8700,Dịch vụ tài chính
AEIF,Quỹ Đầu tư Cổ phiếu Amber,QU,3,8980,Quỹ đầu tư
AEIF,Quỹ Đầu tư Cổ phiếu Amber,QU,4,8985,Quỹ đầu tư
AFX,Công ty Cổ phần Xuất Nhập khẩu Nông sản Thực phẩm An Giang,CT,1,5000,Dịch vụ Tiêu dùng
AFX,Công ty Cổ phần Xuất Nhập khẩu Nông sản Thực phẩm An Giang,CT,2,5300,Bán lẻ
