time,usepuindxd,epu_log
2017-11-21,199.49,5.295764109760319
2017-11-22,52.93,3.968970285869896
2017-11-23,61.97,4.126650396974016
2017-11-24,34.88,3.551913599040779
2017-11-27,31.11,3.4375293109095457
2017-11-28,206.63,5.330929754275513
2017-11-29,103.98,4.6441985729555695
2017-11-30,101.48,4.6198617347310815
2017-12-01,86.95,4.465333240800292
2017-12-04,101.07,4.615813346086571
2017-12-05,95.44,4.55849777778966
2017-12-06,57.79,4.056815750329687
2017-12-07,40.69,3.7059823620135983
2017-12-08,63.52,4.1513548169388805
2017-12-11,81.46,4.400112102220266
2017-12-12,66.43,4.19614876167715
2017-12-13,52.01,3.951436007784981
2017-12-14,32.59,3.4840054928494704
2017-12-15,104.84,4.6524353784552055
2017-12-18,94.77,4.551452903482104
2017-12-19,82.4,4.411585436915426
2017-12-20,57.2,4.046553898385752
2017-12-21,92.94,4.531954123656832
2017-12-22,72.69,4.286203823496544
2017-12-25,101.81,4.623108331119105
2017-12-26,106.31,4.666359354300514
2017-12-27,58.44,4.068000586882499
2017-12-28,63.24,4.146937012341271
2017-12-29,146.43,4.986547498567166
2018-01-02,111.2,4.711330381816482
2018-01-03,52.45,3.959860334842306
2018-01-04,243.48,5.495034803625724
2018-01-05,108.68,4.688407784558147
2018-01-08,77.28,4.347435189904263
2018-01-09,157.58,5.059933265817542
2018-01-10,89.18,4.49065679919933
2018-01-11,111.72,4.715995741076976
2018-01-12,107.69,4.679256729340789
2018-01-15,272.42,5.607344993019195
2018-01-16,61.57,4.120174738923119
2018-01-17,61.83,4.124388683570477
2018-01-18,115.86,4.752382565668478
2018-01-19,88.34,4.481193006168381
2018-01-22,110.72,4.707004491869359
2018-01-23,74.52,4.311067545733388
2018-01-24,93.27,4.535498512738772
2018-01-25,77.97,4.356324137321509
2018-01-26,110.0,4.700480365792417
2018-01-29,85.23,4.445353484534206
2018-01-30,68.45,4.226103551734458
2018-01-31,71.84,4.274441423993944
2018-02-01,49.78,3.907613296939446
2018-02-02,61.2,4.11414718951828
2018-02-05,145.79,4.982167230116731
2018-02-06,92.59,4.528181144459956
2018-02-07,58.29,4.0654305520574585
2018-02-08,89.29,4.491889499529125
2018-02-09,82.68,4.414977734813568
2018-02-12,80.89,4.393090207029862
2018-02-13,104.55,4.649665425874643
2018-02-21,95.81,4.562367063662782
2018-02-22,50.25,3.917010546939185
2018-02-23,55.72,4.020339148911605
2018-02-26,68.6,4.22829253473184
2018-02-27,52.64,3.9634762870170617
2018-02-28,46.68,3.8433158074183553
2018-03-01,69.3,4.238444906195857
2018-03-02,39.63,3.679586407202344
2018-03-05,148.37,4.999709153962702
2018-03-06,133.87,4.896869179797807
2018-03-07,87.33,4.469694046425642
2018-03-08,57.0,4.04305126783455
2018-03-09,132.57,4.887110807810759
2018-03-12,107.4,4.676560182074764
2018-03-13,54.85,4.00460218672124
2018-03-14,79.61,4.377139713100487
2018-03-15,43.98,3.783734985126615
2018-03-16,110.96,4.7091697760065765
2018-03-19,74.64,4.312676556539088
2018-03-20,79.32,4.373490303651595
2018-03-21,55.83,4.022311359322269
2018-03-22,57.36,4.0493471962913645
2018-03-23,66.64,4.199304997858588
2018-03-26,89.77,4.497250843768597
2018-03-27,22.48,3.1126260250254902
2018-03-28,26.48,3.276389731068808
2018-03-29,16.75,2.818398258271076
2018-03-30,44.07,3.785779278853896
2018-04-02,167.71,5.1222362973435365
2018-04-03,88.73,4.485598050847247
2018-04-04,52.9,3.968403338864253
2018-04-05,109.08,4.692081557977388
2018-04-06,70.62,4.25731339050024
2018-04-09,275.14,5.61728005903285
2018-04-10,56.17,4.028382806544341
2018-04-11,79.88,4.380525508547614
2018-04-12,190.11,5.247602852003535
2018-04-13,141.34,4.951168335262708
2018-04-16,65.26,4.178379291165174
2018-04-17,65.55,4.182813210209709
2018-04-18,71.44,4.268857936568244
2018-04-19,46.61,3.8418151103846494
2018-04-20,47.54,3.861571461932048
2018-04-23,66.91,4.2033484327947255
2018-04-24,35.09,3.557916189595124
2018-04-26,68.42,4.225665179549459
2018-04-27,25.82,3.2511493854184965
2018-05-02,95.92,4.5635145107192585
2018-05-03,57.16,4.045854353061666
2018-05-04,38.51,3.6509179478268177
2018-05-07,96.74,4.572026967394837
2018-05-08,100.02,4.605370165990758
2018-05-09,62.2,4.130354999745133
2018-05-10,74.02,4.30433532695801
2018-05-11,78.27,4.360164387816747
2018-05-14,127.21,4.845839264168119
2018-05-15,42.73,3.7549012496559335
2018-05-16,50.06,3.913222286003628
2018-05-17,74.49,4.310664888188185
2018-05-18,129.32,4.862289952857232
2018-05-21,87.84,4.47551697776122
2018-05-22,92.17,4.523634698005573
2018-05-23,171.23,5.14300768200088
2018-05-24,48.9,3.8897773964808255
2018-05-25,102.1,4.625952725170619
2018-05-28,49.45,3.900962058068721
2018-05-29,50.44,3.920784511096719
2018-05-30,135.21,4.906829125370667
2018-05-31,77.32,4.34795265434013
2018-06-01,109.62,4.697019839617971
2018-06-04,80.79,4.391853195491617
2018-06-05,36.31,3.5920931854262443
2018-06-06,37.98,3.63705970538414
2018-06-07,55.99,4.025173103360802
2018-06-08,112.51,4.72304210658298
2018-06-11,138.36,4.929858984068968
2018-06-12,235.59,5.462093006054893
2018-06-13,137.07,4.920491744243289
2018-06-14,96.72,4.571820206306537
2018-06-15,68.71,4.229894749042985
2018-06-18,79.32,4.373490303651595
2018-06-19,165.86,5.111144059023058
2018-06-20,222.05,5.402902581738111
2018-06-21,71.67,4.272072250005828
2018-06-22,80.35,4.386392092183521
2018-06-25,63.53,4.1515122352784415
2018-06-26,218.91,5.388660686445639
2018-06-27,39.58,3.678323940174419
2018-06-28,89.28,4.491777498633001
2018-06-29,54.02,3.98935434836447
2018-07-02,80.26,4.385271364838771
2018-07-03,119.73,4.785239207728752
2018-07-04,87.2,4.468204330914934
2018-07-05,80.07,4.382901252084542
2018-07-06,184.49,5.217595261469674
2018-07-09,110.48,4.704834509101037
2018-07-10,81.98,4.406475315076191
2018-07-11,40.76,3.707701208354524
2018-07-12,84.92,4.441709636835055
2018-07-13,74.75,4.314149212270796
2018-07-16,89.31,4.4921134636957945
2018-07-17,58.55,4.069881090043726
2018-07-18,75.12,4.319086834900007
2018-07-19,55.33,4.013315256910018
2018-07-20,132.11,4.883634908890262
2018-07-23,78.59,4.364244464878084
2018-07-24,77.37,4.348599108561364
2018-07-25,57.92,4.059062748077461
2018-07-26,104.65,4.650621448892009
2018-07-27,61.47,4.118549250918918
2018-07-30,153.38,5.032918502336713
2018-07-31,91.35,4.514698282824016
2018-08-01,57.71,4.055430468722875
2018-08-02,117.93,4.770091228101879
2018-08-03,87.73,4.474263916140292
2018-08-06,112.91,4.726591041192431
2018-08-07,72.24,4.27999390910873
2018-08-08,56.98,4.0427003290697625
2018-08-09,69.96,4.247923650150401
2018-08-10,76.97,4.343415735546226
2018-08-13,88.52,4.483228515182849
2018-08-14,55.18,4.01060056878914
2018-08-15,20.08,2.9997242948235283
2018-08-16,30.89,3.43043250693049
2018-08-17,62.36,4.132924044189576
2018-08-20,45.18,3.810654511039857
2018-08-21,81.92,4.4057431612911975
2018-08-22,38.52,3.651177586929925
2018-08-23,89.75,4.497028027368389
2018-08-24,80.33,4.386143150185721
2018-08-27,108.44,4.686197024630465
2018-08-28,165.65,5.109877128745905
2018-08-29,92.96,4.532169293103601
2018-08-30,90.46,4.504907764049697
2018-08-31,121.46,4.799584990469429
2018-09-04,74.36,4.308918162853243
2018-09-05,37.66,3.628598523229006
2018-09-06,68.5,4.22683374526818
2018-09-07,67.9,4.21803603456465
2018-09-10,47.25,3.855452653939752
2018-09-11,49.37,3.899342952270771
2018-09-12,40.31,3.6965995771290734
2018-09-13,29.73,3.3921566370100065
2018-09-14,36.1,3.586292865338835
2018-09-17,100.71,4.612245099660053
2018-09-18,71.72,4.272769648736932
2018-09-19,74.06,4.304875575485466
2018-09-20,54.24,3.99341864363214
2018-09-21,88.17,4.479266769098936
2018-09-24,89.13,4.490095978142626
2018-09-25,55.65,4.019082077721554
2018-09-26,37.16,3.6152329139456376
2018-09-27,22.95,3.133317936506554
2018-09-28,52.38,3.958524839079566
2018-10-01,166.69,5.116135799954996
2018-10-02,130.93,4.874662829239662
2018-10-03,107.49,4.677397819984972
2018-10-04,119.36,4.782144136455451
2018-10-05,66.64,4.199304997858588
2018-10-08,112.49,4.722864328804734
2018-10-09,31.39,3.4464893708538624
2018-10-10,58.99,4.077367938014984
2018-10-11,68.38,4.225080384211156
2018-10-12,103.11,4.635796379529852
2018-10-15,85.8,4.4520190064939165
2018-10-16,109.71,4.697840520829399
2018-10-17,77.94,4.355939299910563
2018-10-18,100.13,4.606469341719712
2018-10-19,70.3,4.252771798816619
2018-10-22,89.49,4.494126887194767
2018-10-23,52.04,3.952012653644304
2018-10-24,73.6,4.298645025734831
2018-10-25,89.53,4.494573764646065
2018-10-26,65.53,4.182508053051405
2018-10-29,64.23,4.162470391269701
2018-10-30,51.28,3.937300812612415
2018-10-31,79.07,4.370333536082836
2018-11-01,84.17,4.432838563223485
2018-11-02,82.99,4.418720118610357
2018-11-05,90.47,4.50501830403765
2018-11-06,148.95,5.003610679159292
2018-11-07,61.17,4.113656873254474
2018-11-08,51.63,3.9441028988915576
2018-11-09,41.01,3.713815939403968
2018-11-12,42.33,3.745496054532832
2018-11-13,64.87,4.172385267224964
2018-11-14,53.94,3.987872317711584
2018-11-15,55.04,4.008060193625088
2018-11-16,30.47,3.416742592997618
2018-11-19,10.92,2.390595970316759
2018-11-20,29.26,3.3762213955919784
2018-11-21,46.86,3.8471644330796497
2018-11-22,21.81,3.082368580213537
2018-11-23,24.17,3.1851121947153915
2018-11-26,168.44,5.126579603293727
2018-11-27,93.08,4.533459338434091
2018-11-28,100.92,4.614328123772857
2018-11-29,183.21,5.210633035903153
2018-11-30,136.43,4.915811662574783
2018-12-03,158.49,5.065691499844334
2018-12-04,109.29,4.694004899688582
2018-12-05,83.26,4.421968241766829
2018-12-06,110.19,4.702206148499686
2018-12-07,101.45,4.619566066271823
2018-12-10,71.08,4.263806003286451
2018-12-11,88.44,4.482324355989245
2018-12-12,57.97,4.059925635351641
2018-12-13,121.67,4.801312461799358
2018-12-14,86.56,4.460837815098172
2018-12-17,101.75,4.622518824322705
2018-12-18,103.24,4.637056374850413
2018-12-19,114.17,4.737688565688236
2018-12-20,79.38,4.37424644735492
2018-12-21,144.91,4.976112860057833
2018-12-24,141.79,4.954347089749467
2018-12-25,171.11,5.142306624543879
2018-12-26,198.19,5.289226166536256
2018-12-27,161.1,5.082025290182929
2018-12-28,156.65,5.054014017398201
2019-01-02,146.97,4.990228484318593
2019-01-03,212.58,5.359318388105436
2019-01-04,153.15,5.031417833278784
