time,close,high,low,open,volume,fx_log_ret
2020-05-08,23444.0,23444.0,22936.705078125,23444.0,0.0,0.0
2020-05-11,23399.0,23399.0,22958.169921875,23399.0,0.0,-0.00192131220643
2020-05-12,23399.0,23399.0,23010.283203125,23010.283203125,0.0,0.0
2020-05-13,23334.0,23334.0,22921.916015625,23334.0,0.0,-0.0027817620060874
2020-05-14,23334.0,23334.0,23020.53515625,23334.0,0.0,0.0
2020-05-15,23334.0,23334.0,22973.453125,23334.0,0.0,0.0
2020-05-18,23334.0,23334.0,22969.986328125,23334.0,0.0,0.0
2020-05-19,23334.0,23334.0,22743.736328125,23334.0,0.0,0.0
2020-05-20,23334.0,23334.0,22900.84765625,23334.0,0.0,0.0
2020-05-21,23334.0,23334.0,22876.626953125,22876.626953125,0.0,0.0
2020-05-22,23334.0,23334.0,22893.421875,23334.0,0.0,0.0
2020-05-25,23334.0,23334.0,22950.578125,23334.0,0.0,0.0
2020-05-26,23334.0,23334.0,22924.6015625,23334.0,0.0,0.0
2020-05-27,23312.0,23312.0,22936.86328125,23312.0,0.0,-0.0009432749488162
2020-05-28,23312.0,23312.0,22946.1640625,22946.1640625,0.0,0.0
2020-05-29,23309.0,23309.0,22802.01953125,23309.0,0.0,-0.0001286973683165
2020-06-01,23280.0,23280.0,22896.38671875,23280.0,0.0,-0.0012449292212955
2020-06-02,23264.0,23264.0,22849.904296875,23264.0,0.0,-0.0006875215121282
2020-06-03,23264.0,23264.0,22845.044921875,22845.044921875,0.0,0.0
2020-06-04,23264.0,23264.0,22860.146484375,22860.146484375,0.0,0.0
2020-06-05,23264.0,23264.0,22647.486328125,23264.0,0.0,0.0
2020-06-08,23264.0,23264.0,22898.962890625,23264.0,0.0,0.0
2020-06-09,23264.0,23264.0,22835.45703125,23264.0,0.0,0.0
2020-06-10,23264.0,23264.0,22737.43359375,23264.0,0.0,0.0
2020-06-11,23264.0,23264.0,22794.34765625,23264.0,0.0,0.0
2020-06-12,23264.0,23264.0,22855.55078125,23264.0,0.0,0.0
2020-06-15,23264.0,23264.0,22874.73046875,23264.0,0.0,0.0
2020-06-16,23264.0,23264.0,22689.353515625,23264.0,0.0,0.0
