time,day,n10d,gprd,gprd_act,gprd_threat,gprd_ma30,gprd_ma7,event,var_name,var_label,gpr_log
2025-04-28,20250428,524,113.79048919677734,75.62682342529297,168.21397399902344,139.38772583007812,148.6718292236328,Russia / Ukraine Tensions,,,4.325811027469163
2025-04-29,20250429,544,127.8748550415039,109.26964569091795,162.02963256835938,141.81500244140625,147.90689086914062,Russia / Ukraine Tensions,,,4.693818641067266
2025-05-05,20250505,511,213.92315673828125,193.87698364257807,280.3017578125,141.89620971679688,135.5714874267578,Russia / Ukraine Tensions,,,5.2672238529986
2025-05-06,20250506,540,214.7034606933593,281.3131103515625,214.2391967773437,145.1942596435547,147.97557067871094,Russia / Ukraine Tensions,,,5.6394683207075404
2025-05-07,20250507,609,250.2103576660156,357.8924560546875,262.3337097167969,149.34413146972656,163.68927001953125,Russia / Ukraine Tensions,,,5.880232539189078
2025-05-08,20250508,605,246.38934326171875,251.08938598632807,309.5971374511719,153.28677368164062,183.8382263183593,Russia / Ukraine Tensions,,,5.52580899520374
2025-05-09,20250509,618,150.08396911621094,128.2474365234375,160.45652770996094,151.9744415283203,179.41123962402344,Russia / Ukraine Tensions,,,4.853961495729768
2025-05-12,20250512,513,200.1746520996093,193.12112426757807,214.776123046875,152.87661743164062,183.29446411132807,Russia / Ukraine Tensions,,,5.26331757893324
2025-05-13,20250513,552,150.0257110595703,83.75579071044922,199.60171508789065,154.82569885253906,174.05479431152344,Russia / Ukraine Tensions,,,4.427905311126255
2025-05-14,20250514,548,145.07595825195312,96.41960144042967,180.9528045654297,154.05758666992188,159.03558349609375,Russia / Ukraine Tensions,,,4.568709515391145
2025-05-15,20250515,574,213.5278778076172,138.0782470703125,287.92724609375,156.4597930908203,154.34109497070312,Russia / Ukraine Tensions,,,4.927820532224933
2025-05-16,20250516,625,206.7042236328125,116.24346923828124,308.5044250488281,158.1396026611328,162.42970275878906,Russia / Ukraine Tensions,,,4.755686864293959
2025-05-19,20250519,500,231.87974548339844,303.8181457519531,220.3603057861328,160.9641876220703,175.37986755371094,Russia / Ukraine Tensions,,,5.716429317647052
2025-05-20,20250520,515,167.23641967773438,153.89691162109375,224.6391448974609,160.8685760498047,177.8385467529297,Russia / Ukraine Tensions,,,5.036282973204193
2025-05-21,20250521,551,222.44102478027344,95.8946304321289,349.9369506835937,163.0033721923828,188.89068603515625,Russia / Ukraine Tensions,,,4.563249988998868
2025-05-22,20250522,581,205.25376892089844,170.518310546875,246.53045654296875,165.4041748046875,187.70867919921875,Russia / Ukraine Tensions,,,5.138842684194135
2025-05-23,20250523,608,103.51773834228516,65.17837524414062,117.7912826538086,163.96031188964844,172.96774291992188,Russia / Ukraine Tensions,,,4.177127745883947
2025-05-26,20250526,403,180.8349609375,163.88938903808594,232.389892578125,161.29151916503906,158.73736572265625,Russia / Ukraine Tensions,,,5.099191743190857
2025-05-27,20250527,505,203.34573364257807,222.33786010742188,218.1785125732422,162.93394470214844,163.8958282470703,Russia / Ukraine Tensions,,,5.404198117343492
2025-05-28,20250528,552,228.03907775878903,167.51158142089844,279.4424133300781,166.7422332763672,164.695556640625,Russia / Ukraine Tensions,,,5.121052491686201
2025-05-29,20250529,567,169.4258575439453,104.83718872070312,223.4694366455078,168.1272735595703,159.57728576660156,Russia / Ukraine Tensions,,,4.6524085631462615
2025-05-30,20250530,572,185.31846618652344,150.1077880859375,221.5160369873047,169.6307373046875,171.2631072998047,Russia / Ukraine Tensions,,,5.011353623275647
2025-06-02,20250602,536,247.2065277099609,197.156494140625,256.9499816894531,172.69483947753906,178.52171325683594,Russia / Ukraine Tensions,,,5.283997799880667
2025-06-03,20250603,533,205.0933074951172,223.0494537353516,248.0603790283203,176.35166931152344,178.7713623046875,Russia / Ukraine Tensions,,,5.407393512503136
2025-06-04,20250604,538,197.0300445556641,184.1470947265625,235.51519775390625,175.78857421875,174.34149169921875,Russia / Ukraine Tensions,,,5.215734866098484
2025-06-05,20250605,581,245.16421508789065,181.88619995117188,341.3498840332031,176.80392456054688,185.1612701416016,Russia / Ukraine Tensions,,,5.2033812165173
2025-06-06,20250606,601,137.7939910888672,142.86463928222656,128.32962036132812,173.0567169189453,178.37205505371094,Russia / Ukraine Tensions,,,4.961897603525646
2025-06-09,20250609,547,145.3411865234375,144.89381408691406,201.42623901367188,167.84474182128906,163.16748046875,Russia / Ukraine Tensions,,,4.976001157503788
2025-06-10,20250610,580,188.4736785888672,113.87487030029295,246.9555206298828,170.6431121826172,160.79324340820312,Russia / Ukraine Tensions,,,4.73510021661388
2025-06-11,20250611,579,177.35682678222656,68.44292449951172,256.896728515625,169.88250732421875,157.9827880859375,Russia / Ukraine Tensions,,,4.226000178963068
2025-06-12,20250612,591,168.150634765625,89.404296875,233.0375518798828,170.48667907714844,146.98085021972656,Russia / Ukraine Tensions,,,4.493168744503204
