date,capital,ticker,so_lo,so_co_phieu,gia_hien_tai,so_tien_chi,ty_trong_goc_ppo,ty_trong_thuc_te,used_capital,cash_left,tracking_error
07/07/2026,100000000,DBC,1,100,18000.0,1800000.0,0.0128,0.018,99643000.0,357000.0,0.551
07/07/2026,100000000,DGW,2,200,39400.0,7880000.0,0.0447,0.0788,99643000.0,357000.0,0.551
07/07/2026,100000000,DXG,2,200,11900.0,2380000.0,0.0207,0.0238,99643000.0,357000.0,0.551
07/07/2026,100000000,EIB,3,300,20200.0,6060000.0,0.0453,0.0606,99643000.0,357000.0,0.551
07/07/2026,100000000,HAG,2,200,14800.0,2960000.0,0.0204,0.0296,99643000.0,357000.0,0.551
07/07/2026,100000000,HDC,3,300,14650.0,4395000.0,0.04,0.044,99643000.0,357000.0,0.551
07/07/2026,100000000,HDG,1,100,18700.0,1870000.0,0.0118,0.0187,99643000.0,357000.0,0.551
07/07/2026,100000000,IMP,3,300,41190.0,12357000.0,0.0932,0.1236,99643000.0,357000.0,0.551
07/07/2026,100000000,KDC,2,200,49500.0,9900000.0,0.0529,0.099,99643000.0,357000.0,0.551
07/07/2026,100000000,KDH,2,200,20950.0,4190000.0,0.0299,0.0419,99643000.0,357000.0,0.551
07/07/2026,100000000,MBB,1,100,24760.0,2476000.0,0.0161,0.0248,99643000.0,357000.0,0.551
07/07/2026,100000000,NLG,1,100,25650.0,2565000.0,0.0238,0.0256,99643000.0,357000.0,0.551
07/07/2026,100000000,PDR,4,400,14300.0,5720000.0,0.0437,0.0572,99643000.0,357000.0,0.551
07/07/2026,100000000,SJS,1,100,47800.0,4780000.0,0.0318,0.0478,99643000.0,357000.0,0.551
07/07/2026,100000000,TCH,5,500,13900.0,6950000.0,0.0656,0.0695,99643000.0,357000.0,0.551
07/07/2026,100000000,VCB,1,100,60850.0,6085000.0,0.0385,0.0609,99643000.0,357000.0,0.551
07/07/2026,100000000,VGC,2,200,40450.0,8090000.0,0.052,0.0809,99643000.0,357000.0,0.551
