date,user_tier,capital_tier,ticker,action,shares,price,total_cost,buy_factor_pct
30/03/2026,250M,250000000,IMP,BUY,500,54200.0,27100000.0,100
30/03/2026,250M,250000000,KDC,BUY,300,49000.0,14700000.0,100
30/03/2026,250M,250000000,KDH,BUY,400,26050.0,10420000.0,100
30/03/2026,250M,250000000,MBB,BUY,100,24760.0,2476000.0,100
30/03/2026,250M,250000000,NLG,BUY,200,28210.0,5642000.0,100
30/03/2026,250M,250000000,NT2,BUY,100,27900.0,2790000.0,100
30/03/2026,250M,250000000,PDR,BUY,700,16600.0,11620000.0,100
30/03/2026,250M,250000000,SJS,BUY,100,49950.0,4995000.0,100
30/03/2026,250M,250000000,TCH,BUY,1000,16350.000000000002,16350000.000000002,100
30/03/2026,250M,250000000,VCB,BUY,100,58000.0,5800000.0,100
30/03/2026,250M,250000000,VGC,BUY,300,44800.0,13440000.0,100
30/03/2026,250M,250000000,VHC,BUY,300,59300.0,17790000.0,100
30/03/2026,250M,250000000,VIC,BUY,300,129500.0,38850000.0,100
30/03/2026,250M,250000000,VIX,BUY,300,16350.000000000002,4905000.000000001,100
30/03/2026,250M,250000000,VSC,BUY,100,23300.0,2330000.0,100
30/03/2026,500M,500000000,BSI,BUY,300,30890.0,9267000.0,100
30/03/2026,500M,500000000,BVH,BUY,100,84500.0,8450000.0,100
30/03/2026,500M,500000000,CTD,BUY,200,80000.0,16000000.0,100
30/03/2026,500M,500000000,DBC,BUY,400,20410.0,8164000.0,100
30/03/2026,500M,500000000,DGW,BUY,500,44720.0,22360000.0,100
30/03/2026,500M,500000000,DXG,BUY,900,12560.0,11304000.0,100
30/03/2026,500M,500000000,EIB,BUY,1000,23000.0,23000000.0,100
30/03/2026,500M,500000000,GAS,BUY,200,80800.0,16160000.0,100
30/03/2026,500M,500000000,HAG,BUY,800,16400.0,13120000.0,100
30/03/2026,500M,500000000,HDC,BUY,1300,16570.0,21541000.0,100
30/03/2026,500M,500000000,HDG,BUY,100,26650.0,2665000.0,100
30/03/2026,500M,500000000,IMP,BUY,900,54200.0,48780000.0,100
30/03/2026,500M,500000000,KDC,BUY,600,49000.0,29400000.0,100
30/03/2026,500M,500000000,KDH,BUY,700,26050.0,18235000.0,100
30/03/2026,500M,500000000,MBB,BUY,300,24760.0,7428000.0,100
30/03/2026,500M,500000000,NLG,BUY,400,28210.0,11284000.0,100
30/03/2026,500M,500000000,NT2,BUY,200,27900.0,5580000.0,100
30/03/2026,500M,500000000,PDR,BUY,1400,16600.0,23240000.0,100
30/03/2026,500M,500000000,SJS,BUY,200,49950.0,9990000.0,100
30/03/2026,500M,500000000,TCH,BUY,2000,16350.000000000002,32700000.000000004,100
30/03/2026,500M,500000000,VCB,BUY,300,58000.0,17400000.0,100
30/03/2026,500M,500000000,VCG,BUY,100,19690.0,1969000.0,100
